cpt_code,description,facility_rate
12036,Intmd rpr s/a/t/ext 20.1-30,271.561075
12037,Intmd rpr s/tr/ext >30.0 cm,309.15667500000006
12041,Intmd rpr n-hf/genit 2.5cm/<,129.906225
12042,Intmd rpr n-hf/genit2.6-7.5,169.1802
12044,Intmd rpr n-hf/genit7.6-12.5,191.67042500000002
12045,Intmd rpr n-hf/genit12.6-20,269.8827
12046,Intmd rpr n-hf/genit20.1-30,314.8631500000001
12047,Intmd rpr n-hf/genit >30.0cm,347.423625
12051,Intmd rpr face/mm 2.5 cm/<,150.046725
12052,Intmd rpr face/mm 2.6-5.0 cm,173.54397500000002
12053,Intmd rpr face/mm 5.1-7.5 cm,187.978
12054,Intmd rpr face/mm 7.6-12.5cm,198.04825000000002
12055,Intmd rpr face/mm 12.6-20 cm,295.72967500000004
12056,Intmd rpr face/mm 20.1-30.0,350.4447
12057,Intmd rpr face/mm >30.0 cm,384.347875
13100,Cmplx rpr trunk 1.1-2.5 cm,172.201275
13101,Cmplx rpr trunk 2.6-7.5 cm,211.139575
13102,Cmplx rpr trunk addl 5cm/<,60.08582500000001
13120,Cmplx rpr s/a/l 1.1-2.5 cm,199.39095000000003
13121,Cmplx rpr s/a/l 2.6-7.5 cm,216.510375
13122,Cmplx rpr s/a/l addl 5 cm/>,68.142025
13131,Cmplx rpr f/c/c/m/n/ax/g/h/f,205.09742500000002
13132,Cmplx rpr f/c/c/m/n/ax/g/h/f,252.4276
13133,Cmplx rpr f/c/c/m/n/ax/g/h/f,102.71655000000001
13151,Cmplx rpr e/n/e/l 1.1-2.5 cm,234.30115000000004
13152,Cmplx rpr e/n/e/l 2.6-7.5 cm,279.95295000000004
13153,Cmplx rpr e/n/e/l addl 5cm/<,114.12950000000001
13160,Sec clsr surg wnd/dehsn xtn,744.52715
14000,Tis trnfr trunk 10 sq cm/<,467.595275
14001,Tis trnfr trunk 10.1-30sqcm,604.88635
14020,Tis trnfr s/a/l 10 sq cm/<,507.204925
14021,Tis trnfr s/a/l 10.1-30 sqcm,623.348475
14040,Tis trnfr f/c/c/m/n/a/g/h/f,548.8286250000001
14041,Tis trnfr f/c/c/m/n/a/g/h/f,655.90895
14060,Tis trnfr e/n/e/l 10 sq cm/<,576.3539750000001
14061,Tis trnfr e/n/e/l10.1-30sqcm,702.2321000000001
14301,Tis trnfr any 30.1-60 sq cm,772.0525
14302,Tis trnfr addl 30 sq cm,183.614225
14350,Filleted finger/toe flap,617.9776750000001
15002,Wound prep trk/arm/leg,198.04825000000002
15003,Wound prep addl 100 cm,39.945325000000004
15004,Wound prep f/n/hf/g,229.937375
15005,Wnd prep f/n/hf/g addl cm,78.54795
15040,Harvest cultured skin graft,114.46517500000002
15050,Pinch graft up to 2 cm diam,430.67102500000004
15100,Splt agrft t/a/l 1st 100sqcm,663.6294750000001
15101,Splt agrft t/a/l ea addl 100,101.038175
15110,Epidrm agrft t/a/l 1st 100,674.70675
15111,Epidrm agrft t/a/l ea addl,90.96792500000001
15115,Epdrm agrft f/s/n/h/f/g/m 1,654.230575
15116,Epdrm agrft f/s/n/h/f/g/m ea,123.19272500000001
15120,Splt agrft f/s/n/h/f/g/m 1st,617.9776750000001
15121,Splt agrft f/s/n/h/f/g/m ea,119.835975
